Unnamed: 0,시각,이동시간,이동시간_lag1,이동시간_lag2,이동시간_lag3,이동시간_lag4,이동시간_lag5,이동시간_lag6,이동시간_lag7,이동시간_lag8,이동시간_lag9,이동시간_lag10,이동시간_lag11,이동시간_lag12,이동시간_lag13,이동시간_lag14,이동시간_lag15,이동시간_lag16,이동시간_lag17,이동시간_lag18,이동시간_lag19,이동시간_lag20,이동시간_lag21,이동시간_lag22,이동시간_lag23,이동시간_lag24,resid,trend,seasonal
377,202101518.0,283.933,257.683,260.1745,264.7495,260.808,262.7665,256.491,255.8745,261.361,249.091,237.575,233.633,241.53866666666667,220.4245,218.95,214.1745,215.2415,206.7915,206.675,227.2,250.833,257.016,269.35,283.75,268.8915,0.6158430188907467,245.4354861111111,11.631670869998157
378,202101519.0,282.083,282.183,257.683,260.1745,264.7495,260.808,262.7665,256.491,255.8745,261.361,249.091,237.575,233.633,241.53866666666667,220.4245,218.95,214.1745,215.2415,206.7915,206.675,227.2,250.833,257.016,269.35,283.75,27.36508271073093,245.32037152777784,9.49754576149122
379,202101520.0,249.841,269.416,282.183,257.683,260.1745,264.7495,260.808,262.7665,256.491,255.8745,261.361,249.091,237.575,233.633,241.53866666666667,220.4245,218.95,214.1745,215.2415,206.7915,206.675,227.2,250.833,257.016,269.35,16.519576959862903,245.29865277777785,7.597770262359278
380,202101521.0,273.483,262.966,269.416,282.183,257.683,260.1745,264.7495,260.808,262.7665,256.491,255.8745,261.361,249.091,237.575,233.633,241.53866666666667,220.4245,218.95,214.1745,215.2415,206.7915,206.675,227.2,250.833,257.016,10.58651424284902,244.86702777777785,7.512457979373167
381,202101522.0,271.433,258.8,262.966,269.416,282.183,257.683,260.1745,264.7495,260.808,262.7665,256.491,255.8745,261.361,249.091,237.575,233.633,241.53866666666667,220.4245,218.95,214.1745,215.2415,206.7915,206.675,227.2,250.833,5.361760119585158,244.7711944444445,8.667045435970392
382,202101523.0,271.433,259.033,258.8,262.966,269.416,282.183,257.683,260.1745,264.7495,260.808,262.7665,256.491,255.8745,261.361,249.091,237.575,233.633,241.53866666666667,220.4245,218.95,214.1745,215.2415,206.7915,206.675,227.2,9.21334656461762,244.9791944444445,4.840458990937908
383,202101600.0,218.908,217.583,259.033,258.8,262.966,269.416,282.183,257.683,260.1745,264.7495,260.808,262.7665,256.491,255.8745,261.361,249.091,237.575,233.633,241.53866666666667,220.4245,218.95,214.1745,215.2415,206.7915,206.675,-15.975270258859052,244.9496736111111,-11.39140335225206
384,202101601.0,226.9245,221.833,217.583,259.033,258.8,262.966,269.416,282.183,257.683,260.1745,264.7495,260.808,262.7665,256.491,255.8745,261.361,249.091,237.575,233.633,241.53866666666667,220.4245,218.95,214.1745,215.2415,206.7915,-11.713965466352388,245.06511111111112,-11.518145644758736
385,202101602.0,234.5745,221.833,221.833,217.583,259.033,258.8,262.966,269.416,282.183,257.683,260.1745,264.7495,260.808,262.7665,256.491,255.8745,261.361,249.091,237.575,233.633,241.53866666666667,220.4245,218.95,214.1745,215.2415,-6.881985757150947,245.6942673611111,-16.979281603960143
386,202101603.0,237.591,241.116,221.833,221.833,217.583,259.033,258.8,262.966,269.416,282.183,257.683,260.1745,264.7495,260.808,262.7665,256.491,255.8745,261.361,249.091,237.575,233.633,241.53866666666667,220.4245,218.95,214.1745,14.318696426008737,246.5466840277778,-19.749380453786536
387,202101604.0,240.708,238.566,241.116,221.833,221.833,217.583,259.033,258.8,262.966,269.416,282.183,257.683,260.1745,264.7495,260.808,262.7665,256.491,255.8745,261.361,249.091,237.575,233.633,241.53866666666667,220.4245,218.95,11.471884034515682,247.5938923611112,-20.49977639562681
388,202101605.0,243.816,235.366,238.566,241.116,221.833,221.833,217.583,259.033,258.8,262.966,269.416,282.183,257.683,260.1745,264.7495,260.808,262.7665,256.491,255.8745,261.361,249.091,237.575,233.633,241.53866666666667,220.4245,7.523263266286545,248.4440486111111,-20.60131187739763
389,202101606.0,252.9245,232.15,235.366,238.566,241.116,221.833,221.833,217.583,259.033,258.8,262.966,269.416,282.183,257.683,260.1745,264.7495,260.808,262.7665,256.491,255.8745,261.361,249.091,237.575,233.633,241.53866666666667,-1.5144733873592973,249.0303298611111,-15.36585647375181
390,202101607.0,260.333,242.366,232.15,235.366,238.566,241.116,221.833,221.833,217.583,259.033,258.8,262.966,269.416,282.183,257.683,260.1745,264.7495,260.808,262.7665,256.491,255.8745,261.361,249.091,237.575,233.633,5.629859620453148,249.2918472222223,-12.555706842675422
391,202101608.0,261.683,257.383,242.366,232.15,235.366,238.566,241.116,221.833,221.833,217.583,259.033,258.8,262.966,269.416,282.183,257.683,260.1745,264.7495,260.808,262.7665,256.491,255.8745,261.361,249.091,237.575,21.19439803191153,249.803875,-13.615273031911524
